filename,width,height,class,xmin,ymin,xmax,ymax
IMG_20220622_174306_jpg.rf.3a8325f3c0f3557c95b2e330ccd5a872.jpg,640,640,1,422,86,591,338
IMG_20220622_174306_jpg.rf.3a8325f3c0f3557c95b2e330ccd5a872.jpg,640,640,1,66,21,283,407
IMG_20220622_174306_jpg.rf.3a8325f3c0f3557c95b2e330ccd5a872.jpg,640,640,0,299,89,427,342
IMG_20220622_174306_jpg.rf.3a8325f3c0f3557c95b2e330ccd5a872.jpg,640,640,0,366,324,466,429
IMG_20220622_174306_jpg.rf.3a8325f3c0f3557c95b2e330ccd5a872.jpg,640,640,0,249,282,350,456
IMG_20220622_174306_jpg.rf.3a8325f3c0f3557c95b2e330ccd5a872.jpg,640,640,1,468,357,530,474
IMG_20220622_174306_jpg.rf.3a8325f3c0f3557c95b2e330ccd5a872.jpg,640,640,1,546,411,587,457
IMG_20220622_174306_jpg.rf.3a8325f3c0f3557c95b2e330ccd5a872.jpg,640,640,0,578,346,640,430
20220525_171630_jpg.rf.3a83ce4b008425186c7ab76ede3a491e.jpg,640,640,0,291,412,331,504
20220525_171630_jpg.rf.3a83ce4b008425186c7ab76ede3a491e.jpg,640,640,1,266,472,299,549
20220525_171630_jpg.rf.3a83ce4b008425186c7ab76ede3a491e.jpg,640,640,1,320,17,431,330
20220525_171630_jpg.rf.3a83ce4b008425186c7ab76ede3a491e.jpg,640,640,1,105,40,201,361
20220525_171630_jpg.rf.3a83ce4b008425186c7ab76ede3a491e.jpg,640,640,1,393,406,451,499
20220525_171630_jpg.rf.3a83ce4b008425186c7ab76ede3a491e.jpg,640,640,0,213,238,305,453
20220620_122709-1-_jpg.rf.3bbc7fdd1f6c8181f3b3deecd90ee323.jpg,640,640,1,106,70,204,213
20220620_122709-1-_jpg.rf.3bbc7fdd1f6c8181f3b3deecd90ee323.jpg,640,640,1,241,118,345,282
20220620_122709-1-_jpg.rf.3bbc7fdd1f6c8181f3b3deecd90ee323.jpg,640,640,0,375,171,487,390
20220620_122709-1-_jpg.rf.3bbc7fdd1f6c8181f3b3deecd90ee323.jpg,640,640,0,362,123,446,280
images-10-_jpg.rf.39b390feb23d9edfed692fc3d491f3e6.jpg,640,640,1,32,65,256,485
images-10-_jpg.rf.39b390feb23d9edfed692fc3d491f3e6.jpg,640,640,0,271,0,468,400
IMG-20241227-WA0051_jpg.rf.39bf83ed4426e279b0c0717656dee281.jpg,640,640,0,349,190,495,365
IMG_6453_jpg.rf.3b6d20042096ea9c7ff31086c4cee36d.jpg,640,640,1,363,244,550,489
IMG_6453_jpg.rf.3b6d20042096ea9c7ff31086c4cee36d.jpg,640,640,1,126,178,304,437
IMG20220406110343_BURST000_COVER_jpg.rf.3adbdf56c19cfdcb09e3877771760508.jpg,640,640,0,75,220,120,288
IMG20220406110343_BURST000_COVER_jpg.rf.3adbdf56c19cfdcb09e3877771760508.jpg,640,640,0,137,226,164,289
IMG20220406110343_BURST000_COVER_jpg.rf.3adbdf56c19cfdcb09e3877771760508.jpg,640,640,0,184,204,206,260
IMG20220406110343_BURST000_COVER_jpg.rf.3adbdf56c19cfdcb09e3877771760508.jpg,640,640,0,208,238,270,383
IMG20220406110343_BURST000_COVER_jpg.rf.3adbdf56c19cfdcb09e3877771760508.jpg,640,640,0,233,220,251,258
IMG20220406110343_BURST000_COVER_jpg.rf.3adbdf56c19cfdcb09e3877771760508.jpg,640,640,0,282,235,335,336
IMG20220406110343_BURST000_COVER_jpg.rf.3adbdf56c19cfdcb09e3877771760508.jpg,640,640,0,288,204,301,241
IMG20220406110343_BURST000_COVER_jpg.rf.3adbdf56c19cfdcb09e3877771760508.jpg,640,640,0,356,222,399,325
IMG_6359_jpg.rf.3a25592d6cf64a30a5e0e19ca297c84d.jpg,640,640,1,172,167,278,307
IMG_6359_jpg.rf.3a25592d6cf64a30a5e0e19ca297c84d.jpg,640,640,0,408,135,520,293
images-9-_jpg.rf.3987f400ba5103be8519c93d02e421c6.jpg,640,640,0,265,185,531,611
images-9-_jpg.rf.3987f400ba5103be8519c93d02e421c6.jpg,640,640,1,12,82,290,535
20220620_122726-1-_jpg.rf.3b722d6aa5e28d6e1abb062b07da06c1.jpg,640,640,1,290,65,411,271
20220620_122726-1-_jpg.rf.3b722d6aa5e28d6e1abb062b07da06c1.jpg,640,640,1,417,68,548,289
20220620_122726-1-_jpg.rf.3b722d6aa5e28d6e1abb062b07da06c1.jpg,640,640,1,473,129,613,423
20220620_122726-1-_jpg.rf.3b722d6aa5e28d6e1abb062b07da06c1.jpg,640,640,1,145,38,254,193
IMG-20241227-WA0142_jpg.rf.3bff5c6b50c8943dd2fa0c0d31f78596.jpg,640,640,1,7,136,302,447
IMG-20241227-WA0142_jpg.rf.3bff5c6b50c8943dd2fa0c0d31f78596.jpg,640,640,0,411,184,589,415
e320_jpg.rf.3aeccdbf2cb7f9205d2324b83cf53c52.jpg,640,640,0,3,107,146,406
e320_jpg.rf.3aeccdbf2cb7f9205d2324b83cf53c52.jpg,640,640,0,136,125,279,410
e320_jpg.rf.3aeccdbf2cb7f9205d2324b83cf53c52.jpg,640,640,0,213,383,287,518
e320_jpg.rf.3aeccdbf2cb7f9205d2324b83cf53c52.jpg,640,640,0,399,123,509,376
e320_jpg.rf.3aeccdbf2cb7f9205d2324b83cf53c52.jpg,640,640,0,499,121,620,361
e320_jpg.rf.3aeccdbf2cb7f9205d2324b83cf53c52.jpg,640,640,0,450,349,543,496
e320_jpg.rf.3aeccdbf2cb7f9205d2324b83cf53c52.jpg,640,640,0,373,343,458,490
e320_jpg.rf.3aeccdbf2cb7f9205d2324b83cf53c52.jpg,640,640,1,153,388,224,564
e320_jpg.rf.3aeccdbf2cb7f9205d2324b83cf53c52.jpg,640,640,1,254,492,320,568
e320_jpg.rf.3aeccdbf2cb7f9205d2324b83cf53c52.jpg,640,640,1,216,503,250,582
1608_jpg.rf.3c0d2bc30a7c4be4341c9789813fecc9.jpg,640,640,1,261,330,423,621
IMG_6489_jpg.rf.3c467dd5e3dd777b52338a557ecd4db9.jpg,640,640,1,148,193,320,521
IMG_6489_jpg.rf.3c467dd5e3dd777b52338a557ecd4db9.jpg,640,640,0,297,176,379,404
IMG_6385_jpg.rf.3bf031198fd9d92e415510ed2f5d3802.jpg,640,640,0,88,201,221,375
IMG_6385_jpg.rf.3bf031198fd9d92e415510ed2f5d3802.jpg,640,640,1,299,82,464,296
IMG-20241227-WA0075_jpg.rf.3cecaa7a7c1e1fcf89ce2514d1ba377b.jpg,640,640,1,121,237,207,362
IMG-20241227-WA0075_jpg.rf.3cecaa7a7c1e1fcf89ce2514d1ba377b.jpg,640,640,1,515,204,586,359
41_jpg.rf.3c055dc1fa8d757da38efaf9b9a6135a.jpg,640,640,1,120,11,306,260
41_jpg.rf.3c055dc1fa8d757da38efaf9b9a6135a.jpg,640,640,0,404,125,616,380
IMG-20241227-WA0148_jpg.rf.3b4bec7d90933110e220f3fb98e42f91.jpg,640,640,1,45,228,225,452
IMG-20241227-WA0148_jpg.rf.3b4bec7d90933110e220f3fb98e42f91.jpg,640,640,1,441,198,625,480
e492_jpg.rf.3d41294708a7f87bb02ae2ef0f4325d3.jpg,640,640,0,7,368,154,626
e492_jpg.rf.3d41294708a7f87bb02ae2ef0f4325d3.jpg,640,640,0,138,290,280,595
e492_jpg.rf.3d41294708a7f87bb02ae2ef0f4325d3.jpg,640,640,0,108,174,182,310
e492_jpg.rf.3d41294708a7f87bb02ae2ef0f4325d3.jpg,640,640,1,189,150,264,309
e492_jpg.rf.3d41294708a7f87bb02ae2ef0f4325d3.jpg,640,640,0,351,171,433,310
